account_number,customer_id,account_type,status,balance_naira,opened_on,home_branch
9913998698,CUS-0001,Savings,active,251500,2025-12-15,ENTIN Lekki
9917075364,CUS-0002,Savings,active,1376000,2017-06-15,ENTIN Ikeja
9944729405,CUS-0003,Savings,active,324600,2017-08-15,ENTIN Benin City
9989768469,CUS-0004,Savings,active,970000,2019-09-15,ENTIN Kano
9919672731,CUS-0005,Savings,active,1134000,2022-12-15,ENTIN Yaba
9988766344,CUS-0006,Savings,active,947600,2012-01-15,ENTIN Wuse
9977876804,CUS-0007,Savings,active,710100,2017-08-15,ENTIN Ibadan
9971475136,CUS-0008,Savings,active,1195700,2014-08-15,ENTIN Wuse
9993319084,CUS-0009,Savings,active,3154900,2022-11-15,ENTIN Enugu
9928379298,CUS-0010,Savings,fraud_hold,449000,2016-02-15,ENTIN Kaduna
9983601610,CUS-0011,Savings,active,175000,2025-06-15,ENTIN Wuse
9975177992,CUS-0012,Savings,active,2361200,2014-10-15,ENTIN Kano
9918603208,CUS-0013,Savings,active,1100500,2025-01-15,ENTIN Ibadan
9922264686,CUS-0014,Savings,active,178900,2025-02-15,ENTIN Yaba
9984133017,CUS-0015,Savings,active,2638500,2018-09-15,ENTIN Yaba
9920525898,CUS-0015,Current,active,150000,2021-12-15,ENTIN Yaba
9982141621,CUS-0016,Savings,active,435500,2022-01-15,ENTIN Enugu
9946001304,CUS-0017,Savings,active,238500,2022-09-15,ENTIN Garki
9995579906,CUS-0017,Current,active,2500000,2015-10-15,ENTIN Garki
9946450604,CUS-0018,Savings,active,170000,2023-06-15,ENTIN Kaduna
9953801291,CUS-0019,Savings,active,322000,2013-01-15,ENTIN Garki
9969256663,CUS-0020,Savings,restricted,3583300,2024-07-15,ENTIN Kaduna
9964529128,CUS-0021,Savings,active,204000,2025-09-15,ENTIN Yaba
9965384535,CUS-0022,Savings,active,1031200,2022-08-15,ENTIN Ikeja
9902145842,CUS-0023,Savings,active,154900,2013-01-15,ENTIN Ikeja
9988281126,CUS-0024,Savings,active,34300,2017-09-15,ENTIN Wuse
9948452630,CUS-0025,Savings,active,659700,2025-10-15,ENTIN Kaduna
9905154382,CUS-0026,Savings,active,457900,2015-03-15,ENTIN Ikeja
9935795111,CUS-0027,Savings,active,1120100,2024-05-15,ENTIN Garki
9955696327,CUS-0028,Savings,active,294700,2022-12-15,ENTIN Garki
9914497660,CUS-0029,Savings,active,947600,2017-11-15,ENTIN Kaduna
9925996775,CUS-0030,Savings,dormant,55000,2024-04-15,ENTIN Benin City
9984951838,CUS-0031,Savings,active,386600,2024-01-15,ENTIN Garki
9941968982,CUS-0032,Savings,active,2401300,2013-01-15,ENTIN Ibadan
9940720754,CUS-0033,Savings,active,1551300,2019-04-15,ENTIN Garki
9918847918,CUS-0034,Savings,active,118700,2020-10-15,ENTIN Wuse
9957555218,CUS-0034,Current,active,400000,2025-03-15,ENTIN Wuse
9955689832,CUS-0035,Savings,active,2340700,2023-03-15,ENTIN Wuse
