card_id,customer_id,account_number,scheme,card_last4,status,online_enabled,daily_limit_naira,blocked_at,block_reason,last_decline_reason,last_decline_at,last_decline_merchant
CRD-0001-1,CUS-0001,9913998698,Mastercard,9609,active,yes,200000,,,,,
CRD-0002-1,CUS-0002,9917075364,Mastercard,8414,active,yes,500000,,,,,
CRD-0003-1,CUS-0003,9944729405,Mastercard,1485,active,yes,200000,,,,,
CRD-0004-1,CUS-0004,9989768469,Visa,0415,active,yes,500000,,,,,
CRD-0005-1,CUS-0005,9919672731,Mastercard,7690,active,yes,500000,,,,,
CRD-0006-1,CUS-0006,9988766344,Verve,9785,active,yes,200000,,,,,
CRD-0007-1,CUS-0007,9977876804,Verve,7183,active,yes,500000,,,,,
CRD-0008-1,CUS-0008,9971475136,Verve,1510,active,yes,100000,,,insufficient_funds,2026-09-21 09:26,Jumia-like Store (fictional)
CRD-0009-1,CUS-0009,9993319084,Mastercard,2535,active,no,100000,,,online_disabled,2026-09-21 07:26,StreamFlix (fictional)
CRD-0010-1,CUS-0010,9928379298,Mastercard,2623,blocked_fraud,yes,100000,,,needs_review,2026-09-21 11:26,ShopGlobal Online (fictional)
CRD-0011-1,CUS-0011,9983601610,Visa,5790,active,yes,100000,,,,,
CRD-0012-1,CUS-0012,9975177992,Visa,3391,active,yes,200000,,,,,
CRD-0013-1,CUS-0013,9918603208,Mastercard,3088,active,yes,200000,,,,,
CRD-0014-1,CUS-0014,9922264686,Mastercard,4995,active,yes,100000,,,,,
CRD-0015-1,CUS-0015,9984133017,Mastercard,9106,active,yes,500000,,,,,
CRD-0016-1,CUS-0016,9982141621,Mastercard,3039,active,yes,500000,,,,,
CRD-0017-1,CUS-0017,9946001304,Mastercard,6981,active,yes,500000,,,,,
CRD-0018-1,CUS-0018,9946450604,Mastercard,2004,active,yes,200000,,,,,
CRD-0019-1,CUS-0019,9953801291,Verve,8562,active,yes,200000,,,,,
CRD-0020-1,CUS-0020,9969256663,Visa,3597,active,yes,100000,,,,,
CRD-0021-1,CUS-0021,9964529128,Mastercard,5582,active,yes,500000,,,,,
CRD-0022-1,CUS-0022,9965384535,Visa,7767,active,yes,500000,,,,,
