txn_id,customer_id,account_number,date_time,channel,direction,amount_naira,counterparty,counterparty_bank,narration,status,debited,beneficiary_credited,on_us,reversal_status,reversal_due,reversal_completed_at,reference,balance_after
TXN-003729,CUS-0302,9916038871,2026-07-23 21:29,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT695741174345,399500
TXN-001276,CUS-0105,9972234888,2026-07-23 22:29,TRANSFER,debit,50000,Yusuf B****y,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT690514974589,485000
TXN-005796,CUS-0469,9968933238,2026-07-24 00:09,POS,debit,7800,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT673938288379,142200
TXN-000263,CUS-0022,9965384535,2026-07-24 00:21,POS,debit,22000,Mama Put Kitchen,,POS purchase,successful,yes,,,,,,ENT212356437626,378000
TXN-003733,CUS-0302,9916038871,2026-07-24 01:08,POS,debit,22000,Filling Station (fictional),,POS purchase,successful,yes,,,,,,ENT939701924954,377500
TXN-001293,CUS-0107,9961387303,2026-07-24 02:14,POS,debit,3500,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT476486018131,146500
TXN-003294,CUS-0266,9911157896,2026-07-24 03:35,ATM,debit,40000,ENTIN ATM,,ATM withdrawal,successful,yes,,yes,,,,ENT921567306861,860000
TXN-004547,CUS-0369,9982914423,2026-07-24 03:45,POS,debit,22000,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT488217050888,378000
TXN-006001,CUS-0485,9974291653,2026-07-24 04:17,WEB,debit,2500,StreamFlix (fictional),,Online card payment,successful,yes,,,,,,ENT218681934355,2497500
TXN-000499,CUS-0042,9938560739,2026-07-24 04:49,USSD,debit,5000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT402566388632,2495000
TXN-002162,CUS-0176,9948340783,2026-07-24 05:37,POS,debit,22000,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT115166164753,58000
TXN-002541,CUS-0206,9960946297,2026-07-24 05:49,TRANSFER,debit,20000,Ikenna A*****e,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT845410781269,15000
TXN-005690,CUS-0461,9906704957,2026-07-24 06:15,POS,debit,1500,Filling Station (fictional),,POS purchase,successful,yes,,,,,,ENT411867409337,148500
TXN-006048,CUS-0489,9904477391,2026-07-24 06:40,ATM,debit,10000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT129349409580,25000
TXN-002281,CUS-0186,9978728285,2026-07-24 07:33,TRANSFER,debit,10000,Bukola O***e,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT123750077677,2490000
TXN-003623,CUS-0293,9928185458,2026-07-24 08:02,POS,debit,1500,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT804407589016,78500
TXN-004366,CUS-0355,9924902182,2026-07-24 08:10,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT537736071104,79500
TXN-000582,CUS-0048,9972987112,2026-07-24 08:23,WEB,debit,9900,Bolt-like Rides (fictional),,Online card payment,successful,yes,,,,,,ENT783904044832,2490100
TXN-000467,CUS-0039,9960824456,2026-07-24 08:52,ATM,debit,10000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT400493231490,140000
TXN-002530,CUS-0206,9960946297,2026-07-24 08:55,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT367987493060,14500
TXN-005403,CUS-0437,9935652556,2026-07-24 09:05,POS,debit,3500,QuickBuy Online (fictional),,POS purchase,successful,yes,,,,,,ENT869180379579,146500
TXN-001833,CUS-0150,9986703642,2026-07-24 09:39,USSD,debit,1000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT968274678839,34000
TXN-000792,CUS-0066,9915141363,2026-07-24 09:47,POS,debit,22000,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT398967742193,2478000
TXN-002575,CUS-0209,9986925245,2026-07-24 10:12,USSD,debit,2000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT336709068892,33000
TXN-005563,CUS-0451,9961219558,2026-07-24 10:16,POS,debit,45000,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT706424059834,35000
TXN-001802,CUS-0148,9929634769,2026-07-24 10:25,TRANSFER,debit,5000,Blessing O*****o,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT428062923920,395000
TXN-004270,CUS-0347,9910644250,2026-07-24 10:53,TRANSFER,debit,100000,Idara O******e,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT100195702894,300000
TXN-006155,CUS-0497,9975222469,2026-07-24 10:57,USSD,debit,2000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT148382698579,33000
TXN-004727,CUS-0383,9903971634,2026-07-24 11:04,TRANSFER,debit,10000,Nnamdi B****e,Sample Savings Bank,Transfer,successful,yes,yes,,,,,ENT367421011806,890000
TXN-000281,CUS-0023,9902145842,2026-07-24 11:09,USSD,debit,5000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT975692872250,75000
TXN-003682,CUS-0298,9994675331,2026-07-24 11:29,ATM,debit,40000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT634082203970,495000
TXN-005983,CUS-0484,9979764044,2026-07-24 11:32,POS,debit,22000,Filling Station (fictional),,POS purchase,successful,yes,,,,,,ENT495163817990,13000
TXN-006110,CUS-0494,9961232402,2026-07-24 12:41,POS,debit,1500,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT398137405055,78500
TXN-002106,CUS-0172,9933836620,2026-07-24 12:44,ATM,debit,40000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT916554684041,860000
TXN-004555,CUS-0370,9934238589,2026-07-24 12:49,POS,debit,3500,QuickBuy Online (fictional),,POS purchase,successful,yes,,,,,,ENT616309672337,896500
